pos_x, pos_y, pos_z
-0.211345, -0.084796, 0.776704
-0.487085, -0.114853, 1.478802
-0.307839, -0.098332, 0.944408
0.055209, -0.079187, 1.486080
0.044384, -0.089136, 1.187032
0.141217, -0.002198, 0.968402
-0.144667, 0.100151, 0.612049
0.170254, 0.046645, 0.631899
0.021487, 0.094206, 0.784170
-0.007519, -0.084558, 0.702534
0.133331, 0.053219, 0.443721
0.180696, 0.099322, 0.623441
0.164793, -0.029271, 0.929080
0.072832, 0.106869, 0.659840
-0.040218, 0.107878, 0.720200
-0.009915, -0.075573, 0.739756
0.181302, 0.058788, 0.586811
0.166061, -0.051409, 0.686833
0.186347, 0.047262, 1.124595
0.172761, 0.054375, 0.620063
0.063070, 0.106727, 0.637907
0.187858, 0.087320, 0.621142
0.188791, 0.062058, 0.602444
0.091808, -0.050145, 0.709975
0.122780, -0.065083, 0.748477
0.198984, 0.023308, 0.772328
0.112119, -0.032490, 0.713859
0.185897, 0.038580, 0.718014
0.194572, 0.007781, 0.739363
0.212460, 0.032481, 0.787404
0.162970, 0.010869, 0.683934
0.173719, 0.025913, 0.913431
0.188997, 0.002480, 0.737589
0.200014, 0.031006, 0.733666
0.148545, -0.014631, 0.742781
0.180926, 0.041321, 0.523106
0.204085, 0.044700, 0.565954
0.192153, 0.041884, 0.545525
0.053604, 0.059777, 0.724620
0.172771, 0.014723, 1.060384
0.208303, 0.064359, 0.700827
0.041337, 0.042419, 1.107156
0.214219, 0.005098, 0.795537
0.159913, 0.075454, 0.512542
0.177315, -0.056657, 0.662887
0.184398, -0.022256, 1.157235
0.117309, -0.037855, 0.773113
0.025199, 0.101485, 0.557837
0.232743, 0.011908, 0.751122
0.217905, -0.000601, 0.738813
0.235007, 0.020917, 0.762115
0.264576, 0.016386, 0.726489
0.170652, 0.014245, 0.707125
0.091399, -0.023576, 0.713802
0.190245, 0.035376, 0.763124
0.068083, 0.220919, 0.901531
0.164249, -0.029167, 1.108238
0.186594, -0.005321, 1.134684
0.041829, 0.101021, 0.768688
0.148166, 0.055144, 0.473141
0.013042, 0.069868, 0.572923
-0.056876, 0.001287, 0.886282
0.167035, 0.080399, 0.624401
0.141894, 0.051622, 0.529948
-0.002901, 0.078888, 0.525835
0.181740, 0.093569, 0.598658
0.153195, 0.083616, 0.518948
0.151496, 0.054655, 0.562210
0.147632, 0.090854, 0.593957
0.152093, -0.035383, 0.758160
0.172375, 0.036497, 0.963684
0.150959, 0.054483, 0.568559
0.096342, 0.049295, 0.416787
0.198068, -0.017167, 1.189963
0.175635, -0.008615, 1.122573
0.164382, -0.011080, 1.117323
0.138961, -0.020249, 0.847912
0.123864, -0.024484, 0.792491
0.135220, 0.097395, 0.543434
0.166163, 0.101382, 0.608519
0.172683, -0.032675, 1.014607
0.174968, 0.093671, 0.536966
0.018398, -0.105735, 0.846445
0.161357, 0.014866, 1.064130
0.166398, 0.039207, 1.064605
0.145059, 0.007831, 1.130236
0.107568, -0.044901, 0.791627
-0.018060, 0.095688, 0.597147
0.194871, -0.006586, 0.738740
0.170629, 0.093866, 0.603231
0.156252, -0.041231, 0.976155
0.186760, 0.043759, 0.719784
0.179145, 0.004435, 1.080992
0.243615, 0.046873, 0.731722
0.236509, 0.034503, 0.747086
0.134197, -0.032652, 0.496971
0.092106, -0.039008, 0.772928
-0.120272, 0.000047, 1.009007
0.175984, -0.169974, 1.393303
0.135575, 0.049754, 0.447083
0.165695, -0.045005, 0.579656
0.170108, 0.095205, 0.605241
0.130450, 0.102788, 0.554367
0.183525, 0.092082, 0.589478
0.245167, 0.016529, 0.780753
-0.001761, 0.037882, 0.473432
0.047668, 0.064249, 0.771947
0.145417, 0.097944, 0.512057
0.025250, 0.101836, 0.559667
0.146979, 0.101183, 0.520635
-0.014249, -0.030587, 0.565192
0.147548, -0.076216, 0.707367
0.167524, 0.100691, 0.610080
0.147237, -0.027165, 0.741627
0.029334, 0.105289, 0.598959
-0.085033, 0.011777, 0.880632
0.157902, 0.039717, 0.571430
-0.045614, 0.009914, 0.811044
0.180011, 0.033208, 1.007028
0.135447, -0.027457, 0.511365
-0.018483, -0.036531, 0.595965
0.169302, 0.085975, 0.634506
-0.035304, 0.021543, 0.607731
0.175537, 0.043682, 0.597357
0.149241, 0.039910, 0.577137
0.018822, -0.078207, 0.836670
0.123520, -0.064686, 0.738197
-0.018881, 0.091271, 0.541952
0.172633, 0.080989, 0.587994
0.115360, 0.086475, 0.494097
0.168288, 0.040790, 0.578743
0.151255, 0.036673, 0.793634
0.157740, 0.066452, 0.673021
0.157166, 0.091791, 0.530168
0.131787, 0.093154, 0.524767
-0.007395, -0.025657, 0.693930
0.073426, 0.100847, 0.571391
0.161631, 0.007880, 0.786860
